numero,cor,servico,cliente,responsavel,data,cidade,m2Aprox,4mm,3mm
790.00,,revestimento,Escola Internacional Unisociesc,Eng Barbara Rosa,42865,joinville,1370.00,431550.00,0.00
791.20,,revestimento,AANESC,Anderson,17/10/2017,joinville,0.00,0.00,13300.00
795.20,,revestimento,UNIMED,Metalúrgica Assis,42805,joinville,0.00,0.00,5300.00
802.00,,revestimento,Escola Internacional Unisociesc,Construtora Trapp Ferreira,16/11/2017,joinville,1370.00,409970.00,0.00
806.00,,revestimento,IRCE,Eduardo,19/11/2017,joinville,0.00,1990.00,0.00
807.20,,revestimento,Bom Jesus,Metalúrgica Assis,43070,joinville,0.00,0.00,14625.00
809.00,,revestimento,,danyellen,43313,joinville,0.00,0.00,3400.00
810.00,,revestimento,Copapel,jonathan,43344,joinville,11.63,0.00,2820.00
811.00,,revestimento,Condomínio Quintessence,paulo,43374,joinville,0.00,0.00,18110.00
813.00,,revestimento,Trapp Ferreira,dilmar,18/01/2016,joinville,0.00,7500.00,0.00
815.00,,revestimento,Bianca lopoes,,26/01/2018,joinville,17.70,0.00,4799.00
817.00,,revestimento,Fernando,,43102,joinville,0.00,0.00,14537.50
820.00,,revestimento,Posto Israel,,43133,joinville,0.00,29280.00,24400.00
821.00,,revestimento,Trapp Ferreira,tiago,43253,joinville,0.00,8375.00,7587.00
822.00,,revestimento,Hospital Geral,carlos,43253,joinville,1790.00,537000.00,501000.00
824.00,,revestimento,Dromos,richter,43253,joinville,624.00,187200.00,0.00
828.00,,revestimento,SESI,,16/03/2018,joinville,358.00,107400.00,0.00
,,revestimento,Restaurante Canaa,,42774,joinville,0.00,0.00,5500.00
725.00,,revestimento,Centro de diagnostico cardiologico,,14/12/2016,lages,0.00,20250.00,18419.00
611.00,branco,revestimento,Bloco B arquitetura,,30/9/2015,laguna,104.00,31200.00,26000.00
630.00,banco,revestimento,construtora richter,,19/10/2015,massaranduba,0.00,52500.00,43750.00
656.00,,revestimento,Roniére,,42525,navegantes,0.00,17104.00,13830.89
612.00,preto,revestimento,Camilla Ghisleni,,22/09/2015,parana,0.00,24750.00,20625.00
625.00,branco porcelana,revestimento,arq celia petry e janaina schwinden,,19/10/2015,penha,0.00,7320.00,6100.00
617.00,branco,revestimento,,,42226,s bento,0.00,23249.35,19439.35
659.00,"branco, aco escovado",revestimento,Alexandre,,,s bento,0.00,5306.12,0
601.00,,revestimento,construtora F&F,,18/08/2015,timbo,0.00,28050.00,23375.00
